Rank,Player,Team,Pos,Game,Spread,O/U,Final_Proj,Ceiling,Floor,Std_Dev,Ownership,Leverage,Status,Notes
1,Nikola Jokic,DEN,C,CLE @ DEN,CLE -1.5,237.5,61.5,72,48,8.2,87%,CHALK,ACTIVE,Must-have chalk
2,Donovan Mitchell,CLE,G,CLE @ DEN,CLE -1.5,237.5,52.1,68,38,9.1,72%,STACK,ACTIVE,High usage game
3,James Harden,CLE,G,CLE @ DEN,CLE -1.5,237.5,48.7,62,35,7.8,58%,LEVERAGE,ACTIVE,2nd game integration
4,Cade Cunningham,DET,G,DET @ CHA,DET -2.5,223.5,45.2,54,35,7.5,58%,NEUTRAL,ACTIVE,Tight game minutes
5,Anthony Edwards,MIN,G,ATL @ MIN,MIN -6.5,237.5,48.2,58,35,9.4,68%,FADE,ACTIVE,Shooter variance risk
6,Jamal Murray,DEN,G,CLE @ DEN,CLE -1.5,237.5,42.8,52,28,8.1,52%,GTD,GTD,Hip 75% confidence
7,Bam Adebayo,MIA,C,UTA @ MIA,MIA -8.5,242.5,39.1,48,28,7.2,38%,UNDEROWNED,ACTIVE,CONFIRMED AVAILABLE - best matchup
8,Julius Randle,MIN,PF,ATL @ MIN,MIN -6.5,237.5,38.1,47,28,7.6,45%,NEUTRAL,ACTIVE,Fast pace floor
9,Lauri Markkanen,UTA,C,UTA @ MIA,MIA -8.5,242.5,37.2,48,24,8.3,55%,FADE,ACTIVE,Blowout benching risk
10,DeMar DeRozan,CHI,F,CHI @ BKN,CHI -3.5,223.5,38.4,48,26,7.4,58%,VALUE,ACTIVE,MOVED UP - Giddey/Smith/Jones OUT = massive usage
11,Rudy Gobert,MIN,C,ATL @ MIN,MIN -6.5,237.5,35.4,45,26,6.8,33%,UNDEROWNED,ACTIVE,Hidden gem value
12,Paolo Banchero,ORL,F,MIL @ ORL,ORL -10.5,218.5,36.5,46,25,7.8,49%,AVOID,ACTIVE,Lowest O/U game
13,Anfernee Simons,CHI,G,CHI @ BKN,CHI -3.5,223.5,34.2,42,24,6.5,48%,VALUE,ACTIVE,MOVED UP - CHI chaos = expanded role
14,Jalen Suggs,ORL,G,MIL @ ORL,ORL -10.5,218.5,31.2,40,22,6.1,62%,FADE,ACTIVE,Overowned low O/U
15,Trey Murphy III,NOP,G,SAC @ NOP,TBD,~215,32.1,42,22,6.4,52%,NEUTRAL,ACTIVE,Consistent scorer
16,Nikola Vucevic,CHI,C,CHI @ BKN,CHI -3.5,223.5,32.1,42,20,6.9,48%,VALUE,ACTIVE,MOVED UP - Giddey/Smith/Jones OUT = more touches
17,Collin Sexton,CHI,G,CHI @ BKN,CHI -3.5,223.5,28.3,38,18,6.2,28%,VALUE,ACTIVE,MASSIVE BOOST - 3 CHI players OUT = expanded minutes
18,Devin Carter,SAC,G,SAC @ NOP,TBD,~215,26.1,36,16,6.8,35%,VALUE,ACTIVE,Usage spike Sabonis OUT
19,Jaren Jackson Jr.,UTA,F,UTA @ MIA,MIA -8.5,242.5,26.4,34,16,6.1,31%,VALUE,ACTIVE,Block upside
20,LaMelo Ball,CHA,G,DET @ CHA,DET -2.5,223.5,28.5,38,18,6.9,42%,VALUE,ACTIVE,APG upside
21,Jeremiah Fears,NOP,G,SAC @ NOP,TBD,~215,24.8,35,15,6.2,28%,VALUE_LEVERAGE,ACTIVE,Best sub-$5K
22,Danny Wolf,BKN,F,CHI @ BKN,CHI -3.5,223.5,28.4,38,18,6.9,41%,VALUE,ACTIVE,5x value play
23,Christian Braun,DEN,G,CLE @ DEN,CLE -1.5,237.5,21.2,30,12,6.1,19%,GTD,GTD,Ankle 70%
24,Dyson Daniels,ATL,G,ATL @ MIN,MIN -6.5,237.5,22.3,32,14,6.2,24%,GTD,GTD,Ankle 75%
25,Ziarie Williams,BKN,F,CHI @ BKN,CHI -3.5,223.5,23.5,32,14,5.8,31%,VALUE_FLIER,ACTIVE,Deep flier
26,Brandon Ingram,NOP,F,SAC @ NOP,TBD,~215,24.3,33,14,6.2,38%,NEUTRAL,ACTIVE,Consistent scorer
27,Brandon Miller,CHA,F,DET @ CHA,DET -2.5,223.5,24.1,33,14,6.5,35%,VALUE,ACTIVE,Young star
28,Austin Reaves,LAL,G,OKC @ LAL,OKC -4,220.5,24.3,33,14,6.1,32%,VALUE,ACTIVE,Expanded role
29,Nick Richards,CHA,C,DET @ CHA,DET -2.5,223.5,22.8,31,12,6.2,29%,VALUE,ACTIVE,Block upside
30,John Collins,UTA,PF,UTA @ MIA,MIA -8.5,242.5,22.1,30,12,6.1,32%,VALUE,ACTIVE,Reliable scorer
31,Naz Reid,MIN,C,ATL @ MIN,MIN -6.5,237.5,23.4,32,13,6.0,26%,VALUE,ACTIVE,Backup C value
32,Darius Garland,LAC,G,OKC @ LAL,OKC -4,220.5,23.7,32,13,6.1,25%,VALUE,GTD,Toe 75%
33,D'Angelo Russell,LAL,G,OKC @ LAL,OKC -4,220.5,22.1,30,12,6.0,21%,VALUE,GTD,Illness 80%
34,Isaiah Stewart,DET,F,DET @ CHA,DET -2.5,223.5,20.4,28,11,5.9,24%,VALUE_FLIER,ACTIVE,Frontcourt depth
35,Herbert Jones,NOP,F,SAC @ NOP,TBD,~215,19.8,28,10,5.9,21%,VALUE,ACTIVE,Defensive forward
36,Jaden Ivey,DET,G,DET @ CHA,DET -2.5,223.5,19.6,27,10,5.8,21%,FLIER,ACTIVE,Young upside
37,Wendell Carter Jr.,ORL,C,MIL @ ORL,ORL -10.5,218.5,18.2,26,9,5.6,GTD,GAME_TIME,Ankle game-time decision
38,Isaiah Jackson,LAC,C,OKC @ LAL,OKC -4,220.5,18.6,26,10,5.6,14%,FLIER,GTD,GTD (not injury)
39,Simone Fontecchio,UTA,F,UTA @ MIA,MIA -8.5,242.5,18.9,26,10,5.7,19%,DEEP_VALUE,ACTIVE,Role player
40,Caleb Martin,MIA,F,UTA @ MIA,MIA -8.5,242.5,16.4,23,8,5.4,15%,DEEP_FLIER,ACTIVE,Energy guy
