rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
1,Nikola Jokić,DEN,F,8670,62.69,78.4,47.0,9.04,28.9,12.2,10.7,2.1,1.4,0.8,3.5,37
2,Luka Dončić,LAL,F,9840,56.76,71.0,42.6,7.22,32.8,7.8,8.6,3.5,1.5,0.5,4.3,42
3,Shai Gilgeous-Alexander,OKC,PG,10200,50.88,63.6,38.2,6.24,31.8,4.4,6.4,1.8,1.3,0.8,2.1,49
4,Jalen Johnson,ATL,F,7020,50.42,63.0,37.8,8.97,23.4,10.6,8.2,1.7,1.3,0.5,3.4,49
5,Tyrese Maxey,PHI,F,8640,50.19,62.7,37.6,7.26,28.8,4.2,6.9,3.4,2.0,0.8,2.4,50
6,Giannis Antetokounmpo,MIL,PF,10500,49.9,62.4,37.4,5.94,28.0,10.0,5.6,0.5,0.9,0.7,3.3,30
7,Victor Wembanyama,SAS,F,7170,49.47,61.8,37.1,8.62,23.9,11.1,2.7,1.8,0.9,2.7,2.6,38
8,Cade Cunningham,DET,PG,6000,49.15,61.4,36.9,10.23,25.1,5.5,9.7,1.8,1.4,0.8,3.7,45
9,Kawhi Leonard,LAC,F,8400,46.81,58.5,35.1,6.96,28.0,6.3,3.7,2.7,2.1,0.5,2.1,39
10,Donovan Mitchell,CLE,SG,8000,45.57,57.0,34.2,7.12,28.9,4.6,5.9,3.7,1.5,0.3,3.1,49
11,Alperen Sengun,HOU,F,6240,45.53,56.9,34.1,9.12,20.8,9.4,6.3,0.6,1.4,1.0,3.2,44
12,Jaylen Brown,BOS,F,8820,45.33,56.7,34.0,6.43,29.4,6.9,4.7,2.1,1.0,0.4,3.6,48
13,Anthony Edwards,MIN,F,8880,44.99,56.2,33.7,6.33,29.6,5.2,3.7,3.3,1.3,0.8,2.7,44
14,James Harden,CLE,F,7620,44.71,55.9,33.5,7.34,25.4,4.8,8.1,3.1,1.3,0.4,3.7,45
15,Deni Avdija,POR,F,7650,44.49,55.6,33.4,7.27,25.5,7.2,6.7,2.3,0.8,0.6,3.9,44
16,Jamal Murray,DEN,F,7800,44.31,55.4,33.2,7.1,26.0,4.3,7.5,3.3,1.0,0.4,2.3,48
17,Anthony Davis,WAS,C,8800,44.22,55.3,33.2,6.28,20.4,11.1,2.8,0.5,1.1,1.7,2.1,20
18,Scottie Barnes,TOR,SF,5800,43.88,54.9,32.9,9.47,19.4,8.4,5.6,0.9,1.3,1.6,2.7,53
19,Joel Embiid,PHI,C,10000,43.55,54.4,32.7,5.44,26.6,7.5,3.9,1.3,0.6,1.1,3.0,31
20,Josh Giddey,CHI,F,5580,42.22,52.8,31.7,9.46,18.6,8.6,8.8,1.7,0.9,0.3,3.5,34
21,Austin Reaves,LAL,F,7830,41.64,52.0,31.2,6.64,26.1,5.2,6.0,2.6,1.0,0.2,3.3,26
22,Lauri Markkanen,UTA,F,8130,41.53,51.9,31.1,6.38,27.1,6.9,2.1,2.8,1.0,0.5,1.5,39
23,Evan Mobley,CLE,F,5370,41.06,51.3,30.8,9.55,17.9,8.8,4.0,1.1,0.9,2.0,2.1,42
24,Kevin Durant,HOU,PF,9500,40.86,51.1,30.6,5.38,25.9,5.3,4.4,2.3,0.8,0.9,3.1,48
25,LeBron James,LAL,SF,9000,40.84,51.1,30.6,5.68,21.8,5.7,6.8,1.4,1.1,0.6,3.1,34
26,Paolo Banchero,ORL,PF,7200,40.65,50.8,30.5,7.06,21.7,8.5,4.9,1.1,0.7,0.7,2.8,41
27,Jalen Brunson,NYK,PG,6500,40.41,50.5,30.3,7.77,27.1,3.3,6.1,2.9,0.7,0.1,2.2,48
28,Karl-Anthony Towns,NYK,F,5910,40.33,50.4,30.2,8.53,19.7,11.9,2.9,1.6,0.9,0.6,2.5,49
29,Stephen Curry,GSW,PG,9300,40.3,50.4,30.2,5.42,27.2,3.5,4.8,4.5,1.1,0.4,2.8,39
