rank,name,team,projected_points
1,Nikola Jokić,DEN,62.69
2,Luka Dončić,LAL,56.76
3,Shai Gilgeous-Alexander,OKC,50.88
4,Jalen Johnson,ATL,50.42
5,Tyrese Maxey,PHI,50.19
6,Giannis Antetokounmpo,MIL,49.9
7,Cade Cunningham,DET,49.15
8,Donovan Mitchell,CLE,45.57
9,Anthony Edwards,MIN,44.99
10,James Harden,CLE,44.71
11,Deni Avdija,POR,44.49
12,Jamal Murray,DEN,44.31
13,Joel Embiid,PHI,43.55
14,Josh Giddey,CHI,42.22
15,Austin Reaves,LAL,41.64
16,Lauri Markkanen,UTA,41.53
17,Evan Mobley,CLE,41.06
18,LeBron James,LAL,40.84
19,Paolo Banchero,ORL,40.65
20,Julius Randle,MIN,39.88
21,Michael Porter Jr.,BKN,39.54
22,Kevin Porter Jr.,MIL,39.49
23,Keyonte George,UTA,39.13
24,Walker Kessler,UTA,38.26
25,Bam Adebayo,MIA,37.61
26,Franz Wagner,ORL,37.32
27,LaMelo Ball,CHA,36.91
28,Chet Holmgren,OKC,36.44
29,Domantas Sabonis,SAC,36.23
30,Jalen Duren,DET,36.05
31,Ja Morant,MEM,35.91
32,Onyeka Okongwu,ATL,35.33
33,Jaren Jackson Jr.,UTA,34.59
34,Tyler Herro,MIA,34.59
35,Ryan Rollins,MIL,34.07
36,Jalen Williams,OKC,34.06
37,Brandon Miller,CHA,33.89
38,Zach Edey,MEM,33.67
39,Jusuf Nurkić,UTA,33.61
40,Nickeil Alexander-Walker,ATL,33.45
41,Norman Powell,MIA,33.42
42,Russell Westbrook,SAC,33.41
43,Dyson Daniels,ATL,33.4
44,Rudy Gobert,MIN,33.01
45,Desmond Bane,ORL,32.76
46,Miles Bridges,CHA,32.57
47,Donovan Clingan,POR,32.5
48,Shaedon Sharpe,POR,32.08
49,Paul George,PHI,32.07
50,DeMar DeRozan,SAC,31.99
51,VJ Edgecombe,PHI,31.98
52,Jalen Suggs,ORL,31.82
53,Jrue Holiday,POR,31.63
54,Nic Claxton,BKN,31.44
55,Kon Knueppel,CHA,31.4
56,Keegan Murray,SAC,31.37
57,Jarrett Allen,CLE,31.32
58,Anthony Black,ORL,30.95
59,Andrew Wiggins,MIA,30.8
60,Isaiah Hartenstein,OKC,30.68
61,Aaron Gordon,DEN,30.59
62,Naz Reid,MIN,29.93
63,Santi Aldama,MEM,29.89
64,Coby White,CHA,29.49
