rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
1,Nikola Jokić,DEN,F,8670,64.34,80.4,48.3,9.27,28.9,12.2,10.7,2.1,1.4,0.8,3.5,37
2,Luka Dončić,LAL,F,9840,60.41,75.5,45.3,7.67,32.8,7.8,8.6,3.5,1.5,0.5,4.3,42
3,Jalen Johnson,ATL,F,7020,52.02,65.0,39.0,9.26,23.4,10.6,8.2,1.7,1.3,0.5,3.4,49
4,Tyrese Maxey,PHI,F,8640,51.99,65.0,39.0,7.52,28.8,4.2,6.9,3.4,2.0,0.8,2.4,50
5,Shai Gilgeous-Alexander,OKC,PG,10200,51.63,64.5,38.7,6.32,31.8,4.4,6.4,1.8,1.3,0.8,2.1,49
6,Cade Cunningham,DET,PG,6000,50.6,63.2,38.0,10.53,25.1,5.5,9.7,1.8,1.4,0.8,3.7,45
7,Giannis Antetokounmpo,MIL,PF,10500,50.45,63.1,37.8,6.01,28.0,10.0,5.6,0.5,0.9,0.7,3.3,30
8,Donovan Mitchell,CLE,SG,8000,49.02,61.3,36.8,7.66,28.9,4.6,5.9,3.7,1.5,0.3,3.1,49
9,Victor Wembanyama,SAS,F,7170,48.97,61.2,36.7,8.54,23.9,11.1,2.7,1.8,0.9,2.7,2.6,38
10,James Harden,CLE,F,7620,47.96,60.0,36.0,7.87,25.4,4.8,8.1,3.1,1.3,0.4,3.7,45
11,Kawhi Leonard,LAC,F,8400,47.96,60.0,36.0,7.14,28.0,6.3,3.7,2.7,2.1,0.5,2.1,39
12,Jaylen Brown,BOS,F,8820,47.83,59.8,35.9,6.78,29.4,6.9,4.7,2.1,1.0,0.4,3.6,48
13,Anthony Edwards,MIN,F,8880,47.54,59.4,35.7,6.69,29.6,5.2,3.7,3.3,1.3,0.8,2.7,44
14,Jamal Murray,DEN,F,7800,47.36,59.2,35.5,7.59,26.0,4.3,7.5,3.3,1.0,0.4,2.3,48
15,Deni Avdija,POR,F,7650,47.34,59.2,35.5,7.74,25.5,7.2,6.7,2.3,0.8,0.6,3.9,44
16,Alperen Sengun,HOU,F,6240,45.33,56.7,34.0,9.09,20.8,9.4,6.3,0.6,1.4,1.0,3.2,44
17,Stephen Curry,GSW,PG,9300,44.7,55.9,33.5,6.01,27.2,3.5,4.8,4.5,1.1,0.4,2.8,39
18,Austin Reaves,LAL,F,7830,44.69,55.9,33.5,7.14,26.1,5.2,6.0,2.6,1.0,0.2,3.3,26
19,Joel Embiid,PHI,C,10000,44.65,55.8,33.5,5.58,26.6,7.5,3.9,1.3,0.6,1.1,3.0,31
20,Josh Giddey,CHI,F,5580,44.47,55.6,33.4,9.96,18.6,8.6,8.8,1.7,0.9,0.3,3.5,34
21,Jalen Brunson,NYK,PG,6500,43.61,54.5,32.7,8.38,27.1,3.3,6.1,2.9,0.7,0.1,2.2,48
22,Lauri Markkanen,UTA,F,8130,43.58,54.5,32.7,6.7,27.1,6.9,2.1,2.8,1.0,0.5,1.5,39
23,Michael Porter Jr.,BKN,F,7500,43.29,54.1,32.5,7.21,25.0,7.2,3.2,3.7,1.0,0.2,2.5,41
24,Scottie Barnes,TOR,SF,5800,43.23,54.0,32.4,9.31,19.4,8.4,5.6,0.9,1.3,1.6,2.7,53
25,Kevin Durant,HOU,PF,9500,43.01,53.8,32.3,5.66,25.9,5.3,4.4,2.3,0.8,0.9,3.1,48
26,Anthony Davis,WAS,C,8800,42.97,53.7,32.2,6.1,20.4,11.1,2.8,0.5,1.1,1.7,2.1,20
27,LeBron James,LAL,SF,9000,42.09,52.6,31.6,5.84,21.8,5.7,6.8,1.4,1.1,0.6,3.1,34
28,Devin Booker,PHX,F,7590,42.0,52.5,31.5,6.92,25.3,4.0,6.3,1.7,0.9,0.3,3.3,42
29,Keyonte George,UTA,F,7140,41.88,52.4,31.4,7.34,23.8,3.9,6.5,2.5,1.1,0.3,3.3,48
30,Paolo Banchero,ORL,PF,7200,41.75,52.2,31.3,7.25,21.7,8.5,4.9,1.1,0.7,0.7,2.8,41
31,Karl-Anthony Towns,NYK,F,5910,41.68,52.1,31.3,8.82,19.7,11.9,2.9,1.6,0.9,0.6,2.5,49
32,Pascal Siakam,IND,F,7080,41.39,51.7,31.0,7.3,23.6,6.7,3.9,1.8,1.1,0.5,2.2,50
33,Julius Randle,MIN,F,6630,41.33,51.7,31.0,7.8,22.1,6.9,5.4,1.5,1.1,0.2,2.5,54
34,Trey Murphy III,NOP,F,6660,40.56,50.7,30.4,7.61,22.2,5.8,3.7,3.2,1.5,0.3,1.9,50
35,LaMelo Ball,CHA,F,5730,40.46,50.6,30.3,8.83,19.1,4.8,7.5,3.3,1.1,0.2,3.1,43
36,Evan Mobley,CLE,F,5370,40.31,50.4,30.2,9.39,17.9,8.8,4.0,1.1,0.9,2.0,2.1,42
37,Kevin Porter Jr.,MIL,F,5130,39.89,49.9,29.9,9.73,17.1,5.2,7.5,1.5,2.3,0.4,3.2,25
38,Cooper Flagg,DAL,F,6090,38.52,48.2,28.9,7.91,20.3,6.6,4.2,1.1,1.2,0.8,2.2,48
39,Franz Wagner,ORL,SF,6800,38.32,47.9,28.7,7.04,22.2,6.1,3.6,1.5,1.1,0.3,1.8,26
40,Bam Adebayo,MIA,F,5460,38.31,47.9,28.7,8.77,18.2,9.8,2.7,1.6,1.1,0.7,1.8,46
41,Brandon Ingram,TOR,F,6600,38.26,47.8,28.7,7.24,22.0,5.8,3.7,1.8,0.8,0.8,2.5,52
42,Amen Thompson,HOU,F,5340,38.22,47.8,28.7,8.95,17.8,7.6,5.5,0.3,1.4,0.6,2.5,50
43,Derrick White,BOS,F,5220,38.13,47.7,28.6,9.14,17.4,4.4,5.5,2.9,1.2,1.4,1.8,51
44,Walker Kessler,UTA,F,4320,37.86,47.3,28.4,10.95,14.4,10.8,3.0,1.2,1.4,1.8,3.2,5
45,Ja Morant,MEM,F,5850,37.41,46.8,28.1,8.0,19.5,3.3,8.1,1.0,1.0,0.3,3.6,20
46,De'Aaron Fox,SAS,F,5850,37.35,46.7,28.0,7.98,19.5,4.0,6.2,2.0,1.2,0.3,2.5,43
47,Jimmy Butler III,GSW,F,6000,37.27,46.6,28.0,7.77,20.0,5.6,4.9,0.8,1.4,0.2,1.6,38
48,Trae Young,WAS,PG,7500,37.15,46.4,27.9,6.19,19.3,1.5,8.9,1.8,1.0,0.1,2.6,10
49,Domantas Sabonis,SAC,F,4740,36.78,46.0,27.6,9.7,15.8,11.4,4.1,0.3,0.9,0.2,2.7,19
50,Stephon Castle,SAS,F,5130,36.59,45.7,27.4,8.91,17.1,5.2,7.0,1.1,1.4,0.3,3.5,42
51,Alex Sarr,WAS,F,5160,36.51,45.6,27.4,8.84,17.2,7.8,2.8,1.0,0.8,2.0,1.7,41
52,Nikola Vučević,BOS,F,4980,36.5,45.6,27.4,9.16,16.6,9.0,3.7,1.7,0.7,0.6,1.5,50
53,Brandon Miller,CHA,F,6090,36.24,45.3,27.2,7.44,20.3,4.7,3.3,2.9,1.0,0.9,2.7,36
54,Zion Williamson,NOP,F,6480,36.19,45.2,27.1,6.98,21.6,6.2,3.4,0.0,1.0,0.6,2.3,38
55,Onyeka Okongwu,ATL,F,4890,36.13,45.2,27.1,9.24,16.3,7.9,3.3,2.0,1.2,1.0,2.0,48
56,Chet Holmgren,OKC,F,5310,36.04,45.0,27.0,8.47,17.7,8.7,1.6,1.3,0.5,2.0,1.6,46
57,Tyler Herro,MIA,F,6570,36.04,45.0,27.0,6.85,21.9,4.7,2.7,2.2,1.0,0.5,1.5,11
